专	zhuān	specialized; expert
世	shì	world; generation
丰	fēng	abundant; rich
丽	lì	beautiful
义	yì	righteousness; meaning
乡	xiāng	countryside; home
乱	luàn	chaos; messy
了	le	particle (completion)
争	zhēng	to争论; to compete
互	hù	mutual; each other
产	chǎn	to produce
亲	qīn	親人; to kiss
仅	jǐn	only; merely
仍	réng	still; yet
付	fù	to pay
代	dài	generation; to代替
价	jià	price; value
任	rèn	to任命; responsibility
众	zhòng	crowd; many
优	yōu	excellent; superior
伟	wěi	great; mighty
伤	shāng	injury; to伤害
何	hé	what; how
保	bǎo	to protect; to keep
修	xiū	to修理; to修改
值	zhí	value; worth
充	chōng	to fill; to充满
光	guāng	light
具	jù	tool; to具备
内	nèi	inside; within
冒	mào	to emit; to冒险
农	nóng	agriculture; farmer
决	jué	to decide
况	kuàng	condition; moreover
刀	dāo	knife
划	huá	to row; to划分
初	chū	beginning; first
判	pàn	to judge
制	zhì	system; to制造
剧	jù	drama; play
功	gōng	merit; achievement
势	shì	power;势力
化	huà	to transform
区	qū	district; area
升	shēng	to rise; liter
华	huá	splendid; China
卫	wèi	to defend; guard
危	wēi	danger; peril
厂	chǎng	factory
历	lì	history; calendar
压	yā	to press; pressure
及	jí	to reach; and
双	shuāng	pair; double
反	fǎn	opposite; to反对
古	gǔ	ancient; old
另	lìng	other; another
只	zhī	MW for animals
台	tái	platform; Taiwan
各	gè	each; every
否	fǒu	to否定; or not
吵	chǎo	to吵闹; noisy
员	yuán	member; employee
命	mìng	life; fate
咖	kā	coffee (咖啡)
品	pǐn	product; quality
哈	hā	ha (laughter)
啡	fēi	coffee (咖啡)
啤	pí	beer (啤酒)
善	shàn	good; kind
器	qì	tool; device
团	tuán	group;团体
困	kùn	困难; sleepy
围	wéi	to surround
土	tǔ	earth; soil
坚	jiān	firm; strong
城	chéng	city; town
基	jī	base; foundation
境	jìng	boundary; condition
增	zēng	to increase
处	chǔ	place; to处理
大	dà	big; large
夫	fū	husband; man
失	shī	to lose
奇	qí	strange; odd
始	shǐ	to begin; start
姑	gū	aunt (father's sister)
娘	niáng	mother; young lady
婚	hūn	marriage; wedding
媒	méi	medium; matchmaker
存	cún	to exist; to存储
宣	xuān	to declare
害	hài	harm; to害怕
容	róng	to容纳; appearance
富	fù	rich; wealthy
察	chá	to observe
导	dǎo	to guide; to lead
屋	wū	house; room
展	zhǎn	to展开; exhibition
属	shǔ	to belong to
巧	qiǎo	skillful; coincidence
币	bì	currency
布	bù	cloth; to announce
希	xī	to hope
并	bìng	and; moreover
幸	xìng	lucky; fortunate
庆	qìng	to celebrate
底	dǐ	bottom; base
建	jiàn	to build
式	shì	style; type
张	zhāng	MW for flat objects
录	lù	to录制; to record
形	xíng	shape; form
彩	cǎi	color; lottery
志	zhì	will; ambition
念	niàn	to念书; thought
性	xìng	nature; gender
怪	guài	strange; to blame
总	zǒng	total; always
恐	kǒng	fear; afraid
戏	xì	play; drama
批	pī	batch; to批评
技	jì	skill; technique
把	bǎ	to hold; BA particle
抓	zhuā	to grab; to catch
拍	pāi	to pat; to shoot
持	chí	to hold; to maintain
挂	guà	to hang
指	zhǐ	finger; to point
按	àn	to press; according to
据	jù	according to; evidence
握	wò	to hold; to握手
搬	bān	to move; to搬运
播	bō	to broadcast
支	zhī	to support; branch
效	xiào	effect; to效仿
救	jiù	to save; to rescue
敢	gǎn	to dare
整	zhěng	whole; to fix
断	duàn	to break; to断定
族	zú	ethnic group; clan
旧	jiù	old; used
易	yì	easy; to exchange
显	xiǎn	to show; obvious
景	jǐng	scenery; view
暖	nuǎn	warm
曾	zēng	once; already
望	wàng	to hope; to look
木	mù	wood; tree
术	shù	skill; technique
杂	zá	mixed; miscellaneous
李	lǐ	plum; surname Li
材	cái	material; talent
村	cūn	village
束	shù	bundle; to束缚
极	jí	extreme; pole
架	jià	frame; MW for machines
某	mǒu	certain; some
标	biāo	mark; sign
根	gēn	root; basis
格	gé	pattern; standard
桥	qiáo	bridge
概	gài	general; roughly
止	zhǐ	to stop
此	cǐ	this
步	bù	step; pace
武	wǔ	martial; military
死	sǐ	to die; death
母	mǔ	mother
每	měi	every; each
民	mín	people; civilian
汁	zhī	juice
汤	tāng	soup
沙	shā	sand
注	zhù	to注意; note
泳	yǒng	swimming
派	pài	faction; to派遣
济	jì	to济助; economy
浪	làng	wave
消	xiāo	to消失; to消除
深	shēn	deep
演	yǎn	to perform; to演示
烈	liè	strong; intense
烟	yān	smoke; cigarette
烦	fán	annoyed; troublesome
父	fù	father
牌	pái	sign; brand
状	zhuàng	state; condition
猪	zhū	pig
环	huán	ring; environment
甜	tián	sweet
界	jiè	boundary; world
痛	tòng	pain; painful
皮	pí	skin; leather
石	shí	stone; rock
破	pò	to break; broken
础	chǔ	foundation; base
社	shè	society; organization
祝	zhù	to wish; to祝福
神	shén	god; spirit
福	fú	blessing; fortune
积	jī	to积累; product
程	chéng	rule; journey
突	tū	sudden; to突破
立	lì	to stand; to establish
章	zhāng	chapter; seal
简	jiǎn	simple; brief
管	guǎn	to manage; pipe
箱	xiāng	box; case
类	lèi	type; category
精	jīng	essence;精神
糖	táng	sugar; candy
紧	jǐn	tight; urgent
约	yuē	to约定; about
纪	jì	纪录; century
线	xiàn	line; thread
终	zhōng	end; finally
结	jié	to tie; knot
绝	jué	to cut off; extreme
继	jì	to continue
续	xù	to continue
缺	quē	to lack; shortage
羊	yáng	sheep
美	měi	beautiful; America
群	qún	group; crowd
职	zhí	职业; position
联	lián	to联系; union
背	bèi	back; to recite
胖	pàng	fat
胜	shèng	victory; to胜利
至	zhì	to; until
舞	wǔ	dance; to舞蹈
艺	yì	art; skill
苦	kǔ	bitter; hardship
苹	píng	apple (苹果)
范	fàn	pattern; model
营	yíng	to营业; camp
蕉	jiāo	banana (香蕉)
补	bǔ	to mend; to supplement
衫	shān	shirt
衬	chèn	shirt; lining
被	bèi	BEI (passive); quilt
裙	qún	skirt
裤	kù	pants; trousers
规	guī	rule; regulation
解	jiě	to understand; to解释
警	jǐng	police; to警告
订	dìng	to订阅; to book
训	xùn	to train
议	yì	to议论; proposal
设	shè	to set up
访	fǎng	to visit
证	zhèng	certificate; proof
误	wù	mistake; to误解
调	diào	to调整; tune
谈	tán	to talk; to chat
象	xiàng	elephant; appearance
负	fù	to bear; negative
责	zé	responsibility
费	fèi	fee; to费用
资	zī	resources; capital
赛	sài	competition; match
赢	yíng	to win
赶	gǎn	to rush; to catch up
足	zú	foot; enough
跳	tiào	to jump; to跳舞
较	jiào	to compare; rather
输	shū	to lose; to transport
达	dá	to达到; to express
连	lián	to连接; even
迷	mí	to迷惑; fan
追	zhuī	to追求; to chase
退	tuì	to退出; to retreat
速	sù	speed; fast
造	zào	to make; to create
邮	yóu	post; mail
都	dōu	all; capital
配	pèi	to match; to配置
采	cǎi	to采集; to pick
金	jīn	gold; metal
防	fáng	to prevent; defense
除	chú	to remove; except
险	xiǎn	danger;险恶
集	jí	to集合; collection
需	xū	to need
顿	dùn	pause; MW for meals
预	yù	in advance; to预测
领	lǐng	to lead; collar
首	shǒu	head; first
香	xiāng	fragrant; incense
验	yàn	to test; to验证
麻	má	hemp; numb
齐	qí	neat; uniform
龙	lóng	dragon
